53	    14		1	    0.1	    50	    5	
52	    9		1	    0.2	    5	    5	
51	    49		1	    0.2	    5	    5	
50	    42		1	    0.2	    5	    5	
49	    8		1	    0.1	    5	    5	
48	    7		1	    0.1	    5	    5	
47	    43		1	    0.1	    5	    5	
46	    11		1	    0.1	    5	    5	
45	    32		1	    0.1	    5	    5	
44	    29		1	    0.3	    10	    10	
43	    30		1	    0.4	    10	    10	
42	    53		1	    1.5	    50	    20	
41	    48		1	    1.4	    50	    20	
40	    46		1	    1.3	    50	    20	
39	    44		1	    1.2	    50	    20	
38	    40		1	    1.1	    50	    20	
37	    39		1	    1	    50	    20	
36	    27		1	    0.9	    50	    20	
35	    38		1	    0.9	    50	    20	
34	    37		1	    0.8	    50	    20	
33	    52		1	    0.8	    50	    20	
32	    26		1	    0.8	    50	    20	
31	    35		1	    0.7	    50	    20	
30	    51		1	    0.7	    50	    20	
29	    22		1	    0.7	    50	    20	
28	    34		1	    0.6	    50	    20	
27	    20		1	    0.6	    50	    20	
26	    50		1	    0.6	    50	    20	
25	    31		1	    0.5	    50	    20	
24	    47		1	    0.5	    50	    20	
23	    28		1	    0.5	    50	    20	
22	    19		1	    0.5	    50	    20	
21	    25		1	    0.4	    50	    20	
20	    17		1	    0.4	    50	    20	
19	    45		1	    0.4	    50	    20	
18	    24		1	    0.3	    50	    20	
17	    16		1	    0.3	    50	    20	
16	    18		1	    0.3	    50	    20	
15	    41		1	    0.3	    50	    20	
14	    23		1	    0.2	    50	    20	
13	    15		1	    0.2	    50	    20	
12	    6		1	    0.9	    100	    100	
11	    4		1	    0.8	    100	    100	
10	    2		1	    0.7	    100	    100	
9	    1		1	    0.6	    100	    100	
8	    12		1	    0.4	    100	    100	
7	    10		1	    0.2	    100	    100	
6	    36		1	    1.7	    1000	1000	
5	    33		1	    1.6	    1000	1000	
4	    13		1	    1.2	    1000	1000	
3	    5		1	    1.1	    1000	1000	
2	    3		1	    1	    1000	1000	
1	    21		1	    0.3	    1000	1000	
