17   1	  1  0.1   50.0     5.0
16   2 	  2  0.1   5.0      5.0
15   3 	  1  0.1   5.0      5.0
14   4	  2  0.1   5.0      5.0
13   5	  1  0.1   5.0      5.0
12   6	  2  0.1   5.0      5.0
11   7 	  6  0.2   10.0     10.0
10   8	  1  0.2   10.0     10.0
9    9	  2  0.2   10.0     10.0
8    10	  3  0.2   10.0     10.0
7    11	  1  0.2   50.0     20.0
6    12	  4  0.3   100.0    100.0
5    13	  1  0.3   100.0    100.0
4    14	  1  0.2   100.0    100.0
3    15	  3  0.4   1000.0   1000.0
2    16	  1  0.3   1000.0   1000.0
1    17	  1  0.3   1000.0   1000.0
